,core,degree,h,influence,u
84,8,24,13,1.314,659
85,9,25,15,1.314,268
86,10,26,16,1.313,145
87,10,24,14,1.312,383
88,9,27,1,1.312,451
89,8,29,1,1.309,375
90,10,25,1,1.308,209
91,10,24,16,1.306,326
92,9,24,15,1.305,531
93,10,20,1,1.305,438
94,11,23,1,1.304,725
95,10,23,1,1.304,1
96,7,25,11,1.304,482
97,10,27,1,1.303,151
98,10,24,15,1.302,445
99,10,23,1,1.299,328
100,10,26,14,1.298,302
101,10,21,14,1.296,192
102,10,22,15,1.296,30
103,10,26,15,1.295,392
104,10,23,1,1.294,380
105,10,26,16,1.294,214
106,11,28,16,1.293,551
107,9,23,1,1.293,81
108,9,24,1,1.292,414
109,9,24,1,1.291,93
110,9,24,1,1.291,267
111,9,25,1,1.288,37
112,10,21,1,1.285,724
113,10,23,1,1.285,193
114,9,23,1,1.284,69
115,8,24,1,1.282,338
116,9,21,14,1.282,281
117,10,22,1,1.282,330
118,8,23,1,1.281,553
119,10,25,1,1.28,389
120,10,23,1,1.28,212
121,10,24,13,1.278,589
122,9,19,13,1.276,58
123,9,22,1,1.275,270
124,10,21,14,1.274,238
125,9,21,12,1.271,584
126,8,21,13,1.271,548
127,9,21,14,1.269,73
128,9,19,1,1.269,175
129,10,19,13,1.267,729
130,10,22,15,1.267,213
131,10,22,14,1.265,84
132,8,21,1,1.263,72
133,11,20,13,1.257,755
134,9,22,13,1.257,774
135,10,22,12,1.257,723
136,6,19,1,1.256,494
137,8,22,1,1.255,89
138,10,21,1,1.254,146
139,10,22,1,1.254,590
140,10,21,1,1.254,542
141,10,18,13,1.252,43
142,10,21,1,1.251,409
143,9,23,1,1.249,321
144,9,21,1,1.248,686
145,10,19,1,1.248,334
146,9,20,1,1.247,24
147,9,16,1,1.247,226
148,10,18,15,1.246,17
149,10,21,16,1.243,141
150,10,20,1,1.243,10
151,9,19,1,1.242,14
152,9,21,14,1.241,26
153,9,18,13,1.24,465
154,10,21,15,1.24,5
155,10,20,16,1.237,149
156,8,22,11,1.235,286
157,9,20,10,1.235,320
158,8,17,12,1.234,469
159,8,20,1,1.233,567
160,9,16,1,1.233,106
161,9,16,1,1.233,408
162,10,22,14,1.232,400
163,9,19,12,1.23,313
164,9,19,12,1.23,266
165,10,20,14,1.23,215
166,10,16,1,1.229,103
167,9,18,13,1.229,258
168,8,20,1,1.227,312
169,10,18,14,1.227,412
170,9,19,1,1.225,697
171,7,22,9,1.223,597
172,10,20,14,1.223,288
173,10,17,1,1.222,8
174,8,20,14,1.222,466
175,10,17,1,1.22,19
176,10,15,14,1.218,83
177,9,15,1,1.218,54
178,8,18,12,1.217,254
179,9,19,1,1.216,33
180,10,18,1,1.215,283
181,8,21,1,1.214,130
182,10,18,13,1.213,11
183,10,17,1,1.212,360
184,6,19,1,1.211,92
185,9,18,14,1.211,144
186,9,19,1,1.209,111
187,9,15,1,1.207,201
188,10,16,1,1.206,206
189,9,16,12,1.205,403
190,7,17,8,1.204,756
191,8,13,1,1.203,190
192,9,18,1,1.202,154
193,9,15,1,1.202,591
194,9,17,1,1.202,123
195,8,16,9,1.202,269
196,8,20,1,1.201,307
197,8,17,12,1.2,237
198,8,18,11,1.2,357
199,9,18,1,1.199,350
200,8,18,12,1.199,64
201,8,18,1,1.198,457
202,8,15,10,1.198,442
203,8,16,10,1.197,188
204,9,14,1,1.197,196
205,8,16,1,1.197,391
206,9,14,1,1.197,65
207,10,16,14,1.196,419
208,6,18,8,1.196,611
209,8,15,11,1.195,247
210,8,16,1,1.194,544
211,9,17,1,1.194,339
212,7,14,1,1.192,602
213,7,16,1,1.191,506
214,9,11,1,1.19,471
215,8,16,1,1.19,653
216,8,14,10,1.19,275
217,9,16,10,1.189,116
218,7,15,1,1.189,708
219,8,15,1,1.189,333
220,8,16,1,1.188,67
221,8,17,1,1.188,499
222,9,15,12,1.188,304
223,8,13,1,1.188,406
224,9,16,11,1.187,583
225,10,16,13,1.187,541
226,8,14,1,1.186,121
227,9,14,1,1.184,221
228,8,15,9,1.182,710
229,8,14,10,1.182,229
230,9,17,1,1.182,63
231,9,13,1,1.181,156
232,9,14,1,1.181,371
233,9,18,1,1.18,593
234,10,17,1,1.18,381
235,9,13,12,1.18,290
236,9,16,12,1.179,361
237,9,14,12,1.179,132
238,7,17,10,1.179,426
239,9,15,1,1.178,126
240,6,14,1,1.177,463
241,8,14,9,1.177,351
242,9,14,12,1.177,779
243,9,16,12,1.176,198
244,7,15,10,1.176,485
245,8,14,1,1.176,398
246,8,17,1,1.176,488
247,9,15,1,1.176,202
248,8,16,1,1.176,343
249,9,13,1,1.175,262
250,10,13,13,1.175,385
251,9,13,1,1.173,292
252,7,16,1,1.173,483
253,8,15,11,1.173,480
254,9,15,12,1.172,253
255,9,15,12,1.172,167
256,7,13,1,1.171,554
257,9,13,12,1.171,216
258,7,13,1,1.17,346
259,6,14,8,1.17,255
260,10,15,1,1.17,21
261,9,13,10,1.169,148
262,8,14,1,1.168,152
263,8,17,1,1.168,239
264,8,13,12,1.168,561
265,10,14,1,1.168,250
266,10,14,1,1.167,210
267,9,13,1,1.167,883
268,7,13,1,1.167,164
269,10,13,12,1.166,382
270,7,15,10,1.165,511
271,9,12,1,1.165,437
272,6,14,1,1.165,135
273,8,13,9,1.164,456
274,9,12,11,1.164,245
275,8,17,10,1.164,500
276,9,14,1,1.163,370
277,8,12,1,1.163,352
278,10,14,11,1.163,384
279,11,13,12,1.162,787
280,8,14,1,1.162,66
281,10,13,1,1.161,386
282,9,12,11,1.16,147
283,8,12,10,1.16,78
284,11,15,12,1.16,570
285,9,13,12,1.158,728
286,8,12,1,1.158,131
287,8,15,10,1.157,484
288,11,12,11,1.157,884
289,8,12,11,1.156,230
290,6,13,1,1.156,693
291,8,12,9,1.156,336
292,9,14,12,1.155,502
293,7,11,1,1.155,424
294,9,12,1,1.155,220
295,9,13,1,1.155,517
296,9,13,1,1.155,785
297,11,12,1,1.155,887
298,8,12,1,1.154,337
299,6,12,8,1.154,311
300,7,13,1,1.152,440
301,8,11,1,1.152,648
302,8,13,1,1.152,70
303,7,12,9,1.152,450
304,6,13,7,1.151,764
305,6,12,1,1.15,522
306,8,11,1,1.15,345
307,7,12,1,1.15,512
308,9,12,1,1.15,227
309,7,14,9,1.15,446
310,8,12,10,1.15,77
311,8,14,10,1.149,185
312,6,12,1,1.149,74
313,7,12,1,1.149,120
314,7,11,1,1.149,606
315,9,12,11,1.149,161
316,6,13,1,1.148,417
317,8,11,1,1.148,85
318,8,13,1,1.148,100
319,9,12,1,1.147,694
320,8,12,1,1.147,329
321,8,11,1,1.147,742
322,8,10,1,1.146,415
323,7,13,1,1.146,91
324,8,10,1,1.145,504
325,9,10,1,1.144,316
326,8,13,1,1.144,187
327,9,12,1,1.144,362
328,7,11,1,1.144,895
329,5,12,7,1.143,157
330,8,11,10,1.143,299
331,8,10,1,1.143,180
332,8,12,1,1.142,768
333,9,12,1,1.142,87
334,7,11,1,1.142,889
335,8,12,1,1.141,399
336,7,11,1,1.141,486
337,6,11,1,1.14,907
338,8,11,1,1.14,124
339,7,10,1,1.14,568
340,8,10,1,1.139,183
341,8,12,1,1.139,256
342,7,12,10,1.138,474
343,9,12,1,1.138,598
344,8,10,1,1.138,443
345,6,10,7,1.137,640
346,6,10,1,1.136,407
347,6,11,7,1.136,289
348,9,10,1,1.136,649
349,7,11,1,1.136,479
350,7,12,8,1.136,705
351,8,13,1,1.136,429
352,7,12,1,1.136,507
353,7,10,10,1.135,475
354,8,9,1,1.135,647
355,9,12,10,1.135,430
356,8,12,1,1.135,411
357,7,11,1,1.134,444
358,7,11,1,1.134,832
359,5,11,1,1.133,458
360,7,11,1,1.133,296
361,7,13,8,1.133,305
362,8,12,1,1.133,676
363,6,13,8,1.132,114
364,8,11,10,1.132,274
365,7,11,1,1.132,277
366,9,13,1,1.131,112
367,8,10,1,1.131,372
368,7,12,1,1.131,835
369,8,10,1,1.13,42
370,6,10,1,1.13,867
371,8,12,9,1.129,207
372,7,13,1,1.129,847
373,7,13,1,1.128,994
374,8,12,10,1.128,27
375,7,13,1,1.128,848
376,8,12,1,1.128,335
377,11,12,1,1.128,885
378,6,11,9,1.128,894
379,7,10,9,1.127,109
380,7,11,1,1.127,661
381,8,14,11,1.127,234
382,7,11,9,1.127,783
383,6,12,1,1.127,90
384,8,10,1,1.127,4
385,6,10,1,1.126,376
386,6,9,1,1.126,306
387,5,11,1,1.126,1004
388,6,11,1,1.125,975
389,6,9,7,1.125,670
390,6,10,1,1.125,259
391,8,11,9,1.124,747
392,9,11,1,1.124,249
393,7,10,9,1.123,62
394,8,12,1,1.123,191
395,8,10,1,1.122,413
396,7,11,1,1.122,476
397,6,9,1,1.122,186
398,7,11,1,1.122,869
399,8,9,1,1.122,454
400,9,11,11,1.122,244
401,8,12,1,1.121,690
402,9,11,1,1.121,363
403,7,11,9,1.121,368
404,6,8,1,1.121,631
405,7,9,8,1.12,952
406,5,11,8,1.119,1066
407,4,9,5,1.119,657
408,8,11,1,1.119,662
409,8,9,1,1.119,160
410,7,8,1,1.118,356
411,7,10,7,1.118,807
412,5,11,1,1.118,557
413,7,9,1,1.118,537
414,5,11,1,1.118,431
415,8,10,9,1.118,743
416,5,12,1,1.117,390
417,6,9,8,1.117,28
418,7,9,7,1.117,956
419,8,10,9,1.116,324
420,5,11,1,1.116,660
421,6,10,1,1.116,698
422,7,10,9,1.116,279
423,8,9,1,1.116,425
424,9,10,1,1.116,891
425,6,9,1,1.115,628
426,6,9,1,1.115,980
427,7,9,8,1.115,890
428,7,9,1,1.114,641
429,8,9,1,1.114,323
430,7,8,1,1.113,421
431,7,11,1,1.113,823
432,7,10,9,1.113,564
433,5,9,7,1.113,455
434,8,11,1,1.113,129
435,7,9,1,1.113,815
436,6,8,7,1.113,284
437,6,9,1,1.112,520
438,7,10,8,1.112,1034
439,11,11,1,1.112,886
440,5,10,1,1.111,656
441,7,10,9,1.111,387
442,6,9,7,1.111,706
443,8,10,1,1.11,744
444,5,8,7,1.11,416
445,6,9,7,1.109,508
446,5,9,1,1.109,911
447,5,8,1,1.109,901
448,5,9,7,1.109,314
449,8,10,1,1.108,60
450,6,8,1,1.108,310
451,6,8,1,1.108,348
452,7,9,1,1.108,858
453,8,10,1,1.107,944
454,5,7,7,1.107,610
455,7,9,1,1.107,1097
456,6,7,7,1.107,128
457,5,8,1,1.106,401
458,7,9,1,1.106,165
459,5,11,1,1.106,1068
460,5,9,6,1.106,633
461,7,9,1,1.106,478
462,7,10,9,1.106,278
463,7,9,1,1.106,379
464,6,8,1,1.105,189
465,6,9,7,1.105,674
466,7,8,1,1.104,32
467,8,9,9,1.104,655
468,7,10,8,1.104,808
469,6,10,1,1.104,490
470,5,8,1,1.104,223
471,8,9,1,1.103,691
472,6,8,1,1.103,243
473,5,10,6,1.103,394
474,6,8,1,1.103,769
475,7,10,1,1.103,846
476,7,8,1,1.103,7
477,6,8,1,1.102,264
478,6,7,1,1.102,47
479,5,9,6,1.101,871
480,5,7,6,1.101,16
481,6,10,7,1.101,322
482,7,9,8,1.1,585
483,8,9,9,1.1,632
484,6,9,1,1.1,117
485,8,8,1,1.1,327
486,7,7,1,1.099,46
487,7,9,7,1.099,432
488,7,7,1,1.098,995
489,6,8,1,1.098,88
490,5,8,1,1.098,792
491,6,8,6,1.098,601
492,6,8,1,1.098,397
493,7,8,1,1.098,637
494,6,9,1,1.097,982
495,7,7,1,1.097,418
496,7,8,1,1.097,646
497,5,9,7,1.097,609
498,5,8,1,1.097,852
499,5,7,1,1.097,95
500,7,9,1,1.096,118
501,5,7,1,1.096,347
502,6,9,7,1.096,364
503,7,8,1,1.096,166
504,6,8,1,1.095,592
505,7,8,1,1.095,782
506,6,8,6,1.094,818
507,6,8,1,1.094,571
508,6,7,1,1.093,396
509,6,8,1,1.093,410
510,6,6,1,1.093,550
511,7,8,1,1.093,833
512,6,7,1,1.093,505
513,6,7,1,1.092,107
514,6,7,6,1.092,621
515,8,8,1,1.092,436
516,6,9,7,1.092,893
517,8,9,1,1.091,745
518,5,7,1,1.091,749
519,6,6,1,1.091,208
520,6,7,1,1.091,562
521,5,6,5,1.091,607
522,5,7,1,1.09,699
523,7,8,1,1.09,251
524,6,7,1,1.089,233
525,6,8,1,1.089,76
526,6,6,1,1.089,285
527,6,7,6,1.088,595
528,5,7,1,1.088,526
529,5,8,1,1.088,613
530,5,9,1,1.088,957
531,5,8,7,1.088,859
532,5,6,1,1.088,805
533,8,10,9,1.088,162
534,5,8,1,1.086,498
535,8,8,1,1.086,509
536,6,7,1,1.086,953
537,6,8,1,1.085,140
538,5,9,1,1.085,906
539,5,7,1,1.085,760
540,6,7,1,1.085,888
541,5,7,6,1.084,696
542,4,6,1,1.084,369
543,5,6,5,1.084,991
544,6,8,1,1.084,658
545,5,6,1,1.084,219
546,7,8,1,1.084,1042
547,7,9,1,1.084,704
548,6,7,1,1.084,297
549,5,7,1,1.083,402
550,5,7,1,1.083,821
551,5,7,1,1.083,700
552,5,8,1,1.083,868
553,5,9,7,1.083,839
554,6,6,1,1.082,168
555,6,7,1,1.082,163
556,5,7,1,1.082,552
557,5,7,1,1.082,527
558,5,6,1,1.082,1111
559,5,6,1,1.082,580
560,6,7,1,1.081,276
561,6,6,6,1.081,178
562,6,7,1,1.081,919
563,5,7,1,1.08,939
564,4,6,1,1.08,860
565,6,6,1,1.08,98
566,5,7,6,1.08,599
567,6,6,1,1.08,594
568,5,8,5,1.079,730
569,5,7,1,1.079,854
570,6,6,1,1.078,177
571,6,7,1,1.078,516
572,4,6,1,1.078,222
573,5,6,1,1.078,496
574,5,5,1,1.077,935
575,6,7,1,1.077,667
576,5,6,1,1.077,766
577,6,6,1,1.077,622
578,5,5,1,1.076,671
579,4,7,1,1.076,709
580,3,5,4,1.076,967
581,5,5,1,1.075,951
582,4,5,5,1.075,717
583,5,6,1,1.075,566
584,5,6,1,1.075,540
585,4,7,4,1.075,349
586,5,7,5,1.074,560
587,6,6,1,1.074,1038
588,4,5,1,1.074,679
589,6,6,1,1.074,434
590,6,6,6,1.073,300
591,6,6,6,1.073,481
592,6,6,1,1.073,263
593,5,6,1,1.073,845
594,5,6,6,1.073,319
595,6,7,1,1.072,642
596,5,7,1,1.072,1000
597,6,6,6,1.071,113
598,6,6,1,1.071,82
599,5,8,6,1.071,1077
600,5,6,6,1.071,603
601,4,4,1,1.071,892
602,5,6,1,1.07,102
603,4,5,1,1.07,558
604,5,6,1,1.07,909
605,6,6,6,1.07,668
606,6,6,1,1.069,695
607,5,8,6,1.069,1104
608,5,7,5,1.069,794
609,5,6,1,1.069,692
610,6,6,1,1.069,791
611,5,6,6,1.068,714
612,5,6,1,1.068,740
613,4,7,1,1.068,1008
614,5,5,1,1.068,452
615,5,6,1,1.067,155
616,7,8,1,1.067,470
617,5,6,1,1.067,295
618,5,5,1,1.067,257
619,5,6,5,1.066,949
620,6,6,1,1.066,171
621,6,6,1,1.066,539
622,5,5,1,1.066,358
623,5,6,5,1.066,820
624,4,5,1,1.066,837
625,5,6,1,1.065,703
626,5,6,5,1.065,736
627,6,7,1,1.065,194
628,4,4,1,1.065,261
629,4,8,1,1.064,143
630,5,6,1,1.064,1025
631,5,5,1,1.064,718
632,4,4,1,1.064,719
633,5,5,1,1.064,754
634,5,6,5,1.064,810
635,5,5,1,1.064,404
636,3,5,1,1.063,97
637,4,5,1,1.063,931
638,4,4,4,1.063,752
639,4,5,1,1.063,616
640,4,6,1,1.063,461
641,6,6,1,1.063,687
642,5,6,6,1.062,620
643,5,6,1,1.062,903
644,4,6,5,1.062,545
645,5,5,1,1.062,573
646,3,6,1,1.062,497
647,5,6,6,1.061,86
648,5,6,1,1.061,1003
649,5,6,6,1.061,720
650,5,5,1,1.061,722
651,5,5,1,1.061,746
652,4,4,1,1.061,665
653,4,5,1,1.061,811
654,3,5,1,1.06,635
655,3,4,1,1.06,921
656,5,5,1,1.06,624
657,6,6,1,1.06,771
658,5,6,1,1.06,514
659,4,6,1,1.059,1049
660,5,5,1,1.058,374
661,4,4,1,1.058,772
662,4,5,1,1.058,272
663,4,4,1,1.058,439
664,5,6,1,1.058,600
665,4,5,1,1.058,169
666,5,5,1,1.057,1069
667,5,5,1,1.057,342
668,4,4,4,1.057,843
669,4,4,1,1.057,809
670,3,4,1,1.057,959
671,4,5,1,1.057,874
672,4,4,1,1.057,902
673,5,5,5,1.057,923
674,5,5,1,1.056,378
675,3,5,1,1.056,978
676,5,5,1,1.056,532
677,4,4,1,1.056,137
678,5,6,1,1.056,735
679,5,5,1,1.056,173
680,5,6,1,1.056,741
681,4,4,4,1.056,578
682,4,5,5,1.055,688
683,4,5,1,1.055,528
684,5,5,5,1.055,727
685,6,6,1,1.055,1037
686,5,6,1,1.055,422
687,4,4,1,1.054,962
688,4,4,1,1.054,904
689,5,5,1,1.054,510
690,5,5,5,1.054,1002
691,4,5,1,1.054,1022
692,5,5,1,1.054,605
693,5,5,1,1.054,1033
694,3,4,1,1.054,770
695,5,5,1,1.054,816
696,5,5,1,1.054,623
697,3,4,1,1.054,824
698,4,6,1,1.054,325
699,5,5,5,1.053,984
700,5,5,1,1.053,1019
701,4,4,1,1.053,780
702,4,4,1,1.053,817
703,3,5,1,1.053,880
704,5,5,1,1.052,359
705,5,5,1,1.052,701
706,4,4,1,1.052,870
707,5,5,1,1.052,519
708,2,4,1,1.052,586
709,3,3,1,1.052,472
710,3,4,1,1.052,877
711,3,3,1,1.052,677
712,4,4,1,1.052,1040
713,4,5,1,1.051,941
714,4,4,1,1.051,294
715,5,5,1,1.051,751
716,3,4,1,1.051,241
717,4,5,1,1.051,801
718,5,5,1,1.051,711
719,5,5,1,1.05,945
720,5,5,1,1.05,961
721,3,4,1,1.05,929
722,5,6,1,1.05,556
723,3,3,1,1.05,575
724,5,5,1,1.05,94
725,3,3,1,1.049,685
726,4,4,1,1.049,464
727,2,4,1,1.049,159
728,3,3,1,1.049,25
729,5,5,1,1.049,1044
730,5,5,1,1.049,1036
731,4,5,1,1.049,934
732,4,4,1,1.049,473
733,4,4,1,1.049,789
734,4,4,1,1.048,645
735,4,4,4,1.048,608
736,4,4,1,1.048,644
737,4,5,1,1.047,309
738,4,4,1,1.047,1031
739,4,4,1,1.047,826
740,4,5,1,1.047,1052
741,3,3,1,1.047,427
742,3,3,1,1.047,786
743,4,4,1,1.046,629
744,3,3,1,1.046,460
745,4,5,4,1.046,989
746,4,5,1,1.046,565
747,4,5,1,1.046,986
748,3,3,1,1.046,99
749,4,4,1,1.045,521
750,3,4,1,1.045,987
751,4,5,1,1.045,979
752,3,3,1,1.045,974
753,4,4,4,1.045,753
754,3,4,1,1.045,1067
755,4,4,1,1.045,830
756,4,5,1,1.045,639
757,2,3,1,1.044,650
758,2,3,1,1.044,763
759,4,4,1,1.044,964
760,3,3,1,1.044,1012
761,4,4,1,1.043,881
762,3,3,1,1.043,170
763,3,3,1,1.043,176
764,2,3,1,1.043,559
765,3,3,1,1.043,765
766,5,5,1,1.043,1065
767,3,3,1,1.043,853
768,3,3,1,1.042,988
769,3,3,1,1.042,271
770,2,3,1,1.042,1072
771,3,4,4,1.042,1083
772,3,3,1,1.042,927
773,3,3,1,1.042,282
774,3,4,1,1.042,836
775,3,3,1,1.041,943
776,4,4,1,1.041,748
777,3,4,1,1.041,773
778,3,3,1,1.041,588
779,2,2,1,1.041,280
780,3,4,3,1.04,1018
781,3,3,1,1.04,612
782,4,4,1,1.04,489
783,3,3,1,1.04,533
784,4,4,1,1.04,940
785,4,4,1,1.04,850
786,3,3,1,1.04,447
787,4,4,1,1.04,1006
788,4,4,1,1.04,365
789,3,3,1,1.04,797
790,3,4,3,1.04,1061
791,2,3,1,1.04,125
792,2,2,1,1.04,235
793,3,3,1,1.04,828
794,2,3,3,1.04,1010
795,3,3,1,1.039,937
796,4,5,5,1.039,922
797,3,3,1,1.039,449
798,3,3,1,1.039,435
799,3,4,1,1.039,1086
800,3,3,1,1.039,31
801,4,5,1,1.039,873
802,3,3,1,1.038,523
803,3,3,1,1.038,59
804,3,3,1,1.038,981
805,3,3,1,1.038,158
806,3,3,1,1.038,538
807,4,4,1,1.038,928
808,2,3,1,1.037,534
809,3,3,1,1.037,138
810,3,3,1,1.037,228
811,3,3,1,1.037,977
812,3,3,1,1.037,122
813,3,3,1,1.037,491
814,3,3,1,1.037,153
815,3,3,1,1.037,793
816,3,3,1,1.037,1001
817,3,3,1,1.037,675
818,3,3,1,1.036,441
819,3,3,1,1.036,547
820,2,2,1,1.036,761
821,3,3,1,1.036,936
822,2,2,2,1.036,798
823,2,2,1,1.036,96
824,2,2,1,1.036,776
825,3,3,1,1.036,879
826,2,2,1,1.035,992
827,3,3,1,1.035,626
828,2,2,1,1.035,495
829,3,3,1,1.035,651
830,4,4,4,1.035,420
831,2,2,1,1.035,960
832,2,2,1,1.035,52
833,4,4,1,1.035,1009
834,3,3,1,1.035,1057
835,4,4,1,1.034,405
836,3,3,1,1.034,863
837,3,3,1,1.034,101
838,3,3,1,1.034,702
839,4,4,1,1.034,1053
840,3,4,3,1.034,899
841,2,2,1,1.034,530
842,2,2,1,1.034,569
843,2,3,1,1.034,303
844,2,2,1,1.034,737
845,2,3,1,1.034,914
846,3,3,1,1.033,942
847,2,2,1,1.033,1021
848,4,4,1,1.033,555
849,2,2,1,1.033,1060
850,2,2,1,1.033,1045
851,2,2,1,1.033,291
852,2,2,1,1.033,926
853,2,3,1,1.033,897
854,2,2,1,1.033,341
855,3,3,1,1.032,468
856,2,2,1,1.032,576
857,3,3,1,1.032,707
858,2,3,1,1.032,663
859,3,3,1,1.032,301
860,3,3,1,1.032,898
861,3,3,1,1.032,795
862,3,3,1,1.032,913
863,3,3,1,1.032,878
864,2,2,1,1.031,973
865,2,2,1,1.031,1064
866,3,3,1,1.031,1016
867,2,3,1,1.031,864
868,3,3,1,1.031,546
869,2,2,1,1.031,910
870,3,3,1,1.031,733
871,3,3,1,1.031,287
872,2,2,1,1.031,812
873,3,4,1,1.031,1079
874,2,2,1,1.03,108
875,3,3,3,1.03,1023
876,2,2,1,1.03,1026
877,2,2,1,1.03,712
878,2,3,1,1.03,713
879,2,2,1,1.029,681
880,2,2,1,1.029,775
881,2,2,1,1.029,1085
882,2,2,1,1.029,318
883,2,3,1,1.029,918
884,3,3,1,1.029,619
885,2,2,1,1.029,625
886,3,3,1,1.029,596
887,4,4,1,1.029,265
888,3,3,1,1.029,1035
889,3,3,1,1.028,985
890,1,2,1,1.027,513
891,2,2,1,1.027,1024
892,2,2,1,1.027,726
893,2,2,1,1.027,1112
894,2,2,1,1.027,968
895,2,2,1,1.027,865
896,2,2,1,1.027,1059
897,3,3,1,1.027,604
898,2,2,1,1.026,819
899,2,2,1,1.026,796
900,2,2,1,1.026,524
901,2,2,1,1.026,950
902,3,3,1,1.026,777
903,2,2,1,1.026,840
904,2,2,1,1.025,932
905,2,2,1,1.025,738
906,2,2,1,1.025,715
907,2,2,1,1.025,680
908,2,2,1,1.024,1099
909,2,2,1,1.024,1074
910,3,3,1,1.024,308
911,2,2,1,1.024,638
912,2,2,2,1.024,925
913,2,2,1,1.024,344
914,2,2,1,1.024,838
915,2,2,1,1.023,924
916,2,2,2,1.023,806
917,2,2,1,1.023,172
918,2,2,1,1.023,731
919,2,2,1,1.023,1047
920,1,1,1,1.023,790
921,2,2,1,1.023,834
922,2,2,1,1.023,841
923,2,2,1,1.022,1046
924,2,2,1,1.022,231
925,2,2,1,1.022,1013
926,2,3,1,1.022,930
927,1,1,1,1.022,759
928,2,2,1,1.022,1007
929,2,2,1,1.022,448
930,3,3,1,1.022,581
931,2,2,1,1.022,672
932,2,2,1,1.022,630
933,2,2,1,1.022,882
934,1,1,1,1.022,643
935,2,2,2,1.022,1122
936,1,1,1,1.022,317
937,2,2,1,1.021,477
938,2,2,1,1.021,664
939,2,2,1,1.021,246
940,2,2,2,1.021,849
941,2,2,1,1.021,813
942,2,2,1,1.021,529
943,1,1,1,1.021,933
944,3,3,3,1.021,1096
945,2,2,1,1.021,966
946,2,2,1,1.021,393
947,2,2,1,1.021,1030
948,2,2,1,1.021,827
949,1,2,1,1.021,997
950,2,2,1,1.021,225
951,2,2,1,1.02,993
952,1,1,1,1.02,614
953,2,2,1,1.02,673
954,3,3,1,1.02,224
955,2,2,1,1.02,682
956,2,2,1,1.02,876
957,2,2,1,1.02,579
958,2,3,1,1.02,920
959,1,1,1,1.02,938
960,2,2,1,1.02,536
961,2,2,1,1.02,150
962,2,2,1,1.02,814
963,1,1,1,1.02,684
964,1,2,1,1.02,767
965,2,2,2,1.02,1088
966,2,2,1,1.02,825
967,2,2,1,1.02,1094
968,1,1,1,1.019,912
969,2,2,1,1.019,1015
970,1,1,1,1.019,252
971,2,2,1,1.019,732
972,2,2,1,1.019,734
973,2,2,2,1.019,996
974,2,2,1,1.018,535
975,1,1,1,1.018,1082
976,2,2,1,1.018,998
977,2,2,1,1.018,543
978,1,1,1,1.018,1124
979,2,2,1,1.018,654
980,1,1,1,1.018,946
981,1,2,1,1.018,1095
982,2,2,1,1.018,822
983,1,1,1,1.017,1054
984,2,2,1,1.017,1078
985,1,1,1,1.017,493
986,2,2,1,1.017,800
987,2,2,1,1.017,1062
988,2,2,1,1.017,983
989,2,2,1,1.017,652
990,1,1,1,1.017,1043
991,1,1,1,1.017,862
992,2,2,1,1.017,683
